CURIE,Definition,Synonyms,Feature,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB,Rank
NCIT:C114182,The preferred hand of use for controlled and efficient performance of motor tasks.,Dominant Hand EXACT|Dominant Hand EXACT|Dominant Hand EXACT|HANDDOM EXACT,Handedness,,PTHAND,Demographic.Handedness,,,handedness,PTHAND,HANDED,,PTHAND,Handedness_interpretation,Handedness,Handedness,Handedness,Handedness,Handedness,Handedness,Handedness,,HANDED,1
NCIT:C25347,The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.,HEIGHT EXACT|Height EXACT|Height EXACT|Height EXACT|Height EXACT|Height EXACT|Height EXACT|Height EXACT|Height EXACT,Height,VSHEIGHT,VSHEIGHT,Vital Signs.Height,,,height,VSHEIGHT,HEIGHT,,VSHEIGHT,Height,Patient'sSize,Patient'sSize,,Patient'sSize,,,,height,,2
NCIT:C25208,The vertical force exerted by a mass as a result of gravity.,WEIGHT EXACT|WEIGHT EXACT|WEIGHT EXACT|WEIGHT EXACT|Weight EXACT|Weight EXACT|Weight EXACT|Weight EXACT|Weight EXACT|Weight EXACT|Weight EXACT|Weight EXACT|Weight EXACT,Weight,VSWEIGHT,VSWEIGHT,Vital Signs.Weight,,,weight,VSWEIGHT,WEIGHT,,VSWEIGHT,Weight,Patient'sWeight,Patient'sWeight,,Patient'sWeight,,,,weight,,2
NCIT:C16358,An individual's weight in kilograms divided by the square of the height in meters.,BMI EXACT|BMI EXACT|BMI EXACT|BMI EXACT|BMI EXACT|BMI EXACT|Body Mass Index EXACT|Body Mass Index EXACT|Body Mass Index EXACT|Body Mass Index EXACT|body mass index EXACT|Quetelet Index EXACT|Vital Signs – BMI EXACT,BMI,,,Vital Signs.Body Mass Index,,,,,NACCBMI,bmi,,CAIDE_BMI_subscore,,,,,,,,,,
NCIT:C3117,Blood pressure that is abnormally high.,High Blood Pressure EXACT|High blood pressure EXACT|high blood pressure EXACT|High Blood Pressure/Hypertension EXACT|HTN EXACT|Hypertension EXACT|Hypertension EXACT|Hypertension EXACT|Hypertension EXACT|Hypertension EXACT|Hypertension EXACT|hypertension EXACT|Vascular Hypertensive Disorder EXACT,High Blood Pressure,,,,,,,,NACCAHTN,,DHBP,Diastolic_blood_pressure,docip,,,,,,,hxbp,,1
NCIT:C94852,A description of a personal residence and the relationship between the occupants that reside there.,Living Arrangement EXACT|Living Arrangement EXACT|Living Arrangements EXACT,Living Situation,,PTHOME,Demographic.Present Living Arrangements,,,,PTHOME,NACCLIVS,,PTHOME,,,,,,,,,,LIVSIT,1
NCIT:C176365,The country in which an individual permanently resides.,Country of Permanent Address EXACT|Country of Permanent Address EXACT|Country of Permanent Address EXACT|CTRYPAD EXACT,Country of Residence,,,,,,,,,,DCITYST,,Country_Of_Residence,Country_Of_Residence,Country_Of_Residence,Country_Of_Residence,Country_Of_Residence,Country_Of_Residence,Country_of_Residence,,,1
NCIT:C43608,"The action of verifying that a person, process, product or piece of equipment is suitable for a particular postition or task.",Qualification EXACT,Patient Qualification,,,,Best_Qualifications,,,,,,,,titstu,,,,,,,,,1
NCIT:C19160,A grouping of occupations and fields of study.,Occupation or Discipline EXACT,Profession,,,,Best_Job_Held,,,,NACCREFR,,DCURDET,Work_by_category,prof,,,,,,,,,1
NCIT:C94852,A description of a personal residence and the relationship between the occupants that reside there.,Living Arrangement EXACT|Living Arrangement EXACT|Living Arrangements EXACT,Living Arrangement,,,,,,,,INLIVWTH,,DPARTNR,,conviv,,,,,,,,,1
