CURIE,Definition,Synonyms,Feature,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB,Rank
EFO:0009505,"Damage inflicted on the head as the direct or indirect result of an external force, with or without disruption of structural continuity.",,Head Injury ,,,Medical History.Serious Head Injury,,,medical_history_term,MH3HEAD,NPPDXI,headinjrloc_bl,TBFUPEN,,tracra1,,,,,,,,,1
NCIT:C156778,"Tests to assess the ability to focus on and discern objects, colors, depth, etc.",Vision Assessment EXACT|Vision Assessment EXACT,Vision,,BCVISION,Medical History.Visual Defects,,,eyes_results,BCVISION,VISION,,BCVISION,,vista,,,,,,,,,1
HP:0100749,-,-,Chest Pain,,BCCHEST,,,,chest_results,BCCHEST,,,BCCHEST,,angina,,,,,,,angina,,1
NCIT:C16670,"The auditory faculty, the perception of sound by the ear.",Hearing EXACT,Hearing,,,,,,ears_nose_throat_results,,HEARING,,MHSHEAD,diagnosed_impairment,udit,,,,,,,,,1
NCIT:C3442,Forceful ejection of the contents of the stomach through the mouth.,Emesis EXACT|Emesis EXACT|emesis EXACT|vomit EXACT|Vomiting EXACT|Vomiting EXACT|Vomiting EXACT|Vomiting EXACT,Vomiting,,BCVOMIT,,,,,AXVOMIT,,,BCVOMIT,,,,,,,,,,,1
NCIT:C36172,"A watery secretion by the sweat glands that is primarily composed of salt, urea and minerals.",Sweating EXACT|Sweating EXACT|Sweats EXACT,Sweating,,BCSWEATN,,,,,AXSWEATN,,,BCSWEATN,,MSA_C8,,,,,,,,,1
NCIT:C34661,"Pain in various parts of the head, not confined to the area of distribution of any nerve.",Headache EXACT|Headache EXACT|Headache EXACT|Headache EXACT|Headache EXACT|Headache EXACT|Headache EXACT|Headaches EXACT|Headaches EXACT,Headache,,BCHDACHE,,,,,AXHDACHE,,,BCHDACHE,,,,,,,,,,,1
NCIT:C12727,A hollow organ located slightly to the left of the middle portion of the chest. It is composed of muscle and it is divided by a septum into two sides: the right side which receives de-oxygenated blood from the body and the left side which sends newly oxygenated blood to the body. Each side is composed of two chambers: the atrium (receiving blood) and ventricle (ejecting blood).,Cardiac EXACT|HEART EXACT|Heart EXACT|Heart EXACT|Heart EXACT,Heart Condition,PXCARD,PXHEART,,,,heart_abnormal_findings,PXHEART,CVCHF,heart_bl,PXHEART,,cuore,,,,,,,afib,,1
NCIT:C49677,"The number of heartbeats per unit of time, usually expressed as beats per minute.",Heart Rate EXACT|Heart Rate EXACT|Heart Rate EXACT|Heart Rate EXACT|Heart Rate EXACT|Heart Rate EXACT|HR EXACT|HR EXACT|Vital Signs – Heart Rate EXACT,Heart Rate,,PREHEART,Vital Signs.Heart rate,,,heart_results,,HRATE,,,,,,,,,,,,,1
MONDO:0000587,-,-,"Ears, Nose and Throat",PXHEADEY,PXHEADEY,,,,ears_nose_throat_results,PXHEADEY,,,PXHEADEY,,nasgol,,,,,,,,,1
