,0
204,Right Superior Temporal Mean Cortical Thickness
205,Right Superiorfrontal Mean Cortical Thickness
206,Right Superiorparietal Mean Cortical Thickness
207,Right Supramarginal Area
208,Right Supramarginal Gray Matter Volume
209,Right Supramarginal Mean Cortical Thickness
210,Right Temporal Pole Area
211,Right Temporal Pole Gray Matter Volume
212,Right Temporal Pole Thickness
213,Right Thalamus Volume
214,Right Transverse Temporal Area
215,Right Transverse Temporal Grey Matter Volume
216,Right Transverse Temporal Mean Cortical Thickness
217,Right Ventral Diencephalon Volume
218,Right-vessel From Qdec
219,Third Ventricle Volume
220,White Matter HypoIntensities Volume
221,APOE4_0
222,APOE4_1
223,APOE4_2
224,ATN
225,Cohort
